i,time,time include mem,time optm1,time optm1 include mem,time optm2,time optm2 include mem
1,0.00032833218574523926,0.0020716488361358643,0.0003707143995496962,0.0019456999642508371,0.0003783702850341797,0.0019070804119110107
2,0.0003694163428412543,0.0022430684831407336,0.0003361999988555908,0.002294566896226671,0.00031528472900390627,0.0018126964569091797
3,0.0003496578761509487,0.0025974810123443604,0.00037407875061035156,0.00555264949798584,0.0003407895565032959,0.002446502447128296
4,0.0003070533275604248,0.0021076202392578125,0.0004623730977376302,0.004174629847208659,0.000322375978742327,0.002077976862589518
5,0.0003947814305623372,0.002823561429977417,0.0003426074981689453,0.002246379852294922,0.0003237426280975342,0.0018580489688449437
6,0.0005805015563964844,0.0034211277961730957,0.0003902614116668701,0.004451581409999302,0.00040417247348361544,0.002792060375213623
7,0.0005188253190782336,0.004978458086649577,0.00047715504964192707,0.003498077392578125,0.00036272406578063965,0.003184848361545139
8,0.0003566212124294705,0.003009319305419922,0.0004245553697858538,0.003974497318267822,0.0003413624233669705,0.003499269485473633
9,0.00036910176277160645,0.003161698579788208,0.0003885030746459961,0.00464146477835519,0.00045937299728393555,0.00384619500901964
10,0.00034628595624651225,0.0028567910194396973,0.0003307546888078962,0.003950145509507921,0.0003393888473510742,0.003186396190098354
11,0.0003609922197129991,0.003155602349175347,0.0003565549850463867,0.00514674186706543,0.00037797292073567707,0.004923045635223389
12,0.0003592438167995877,0.0035216808319091797,0.00039455625745985244,0.005259215831756592,0.000360637903213501,0.003900587558746338
13,0.0003784000873565674,0.004347426550728934,0.0003361999988555908,0.006361802419026692,0.00046321323939732144,0.003879159688949585
14,0.00036655531989203557,0.003938496112823486,0.00036909845140245225,0.006293833255767822,0.00035458803176879883,0.003921031951904297
15,0.0003573497136433919,0.004289286477225167,0.00039058923721313477,0.010799407958984375,0.00045360837663922993,0.0041097913469587055
16,0.0003472396305629185,0.004490852355957031,0.0003687805599636502,0.007499605417251587,0.00036513805389404297,0.004742569393581814
17,0.00036679373847113713,0.004671388202243381,0.0003456274668375651,0.010887980461120605,0.0003985762596130371,0.007974505424499512
18,0.00037037001715766057,0.004776035036359515,0.000382155179977417,0.011027404240199499,0.0003853142261505127,0.006988843282063802
19,0.00036716461181640625,0.005124181509017944,0.00039505958557128906,0.01437071959177653,0.00041870276133219403,0.00479405266898019
20,0.00035531180245535713,0.005988121032714844,0.00035247206687927246,0.012119501829147339,0.00036343932151794434,0.004509965578715007
21,0.00034546852111816406,0.0053918759028116865,0.0003891785939534505,0.011984944343566895,0.00043657847813197544,0.004642665386199951
22,0.000540773073832194,0.005987048149108887,0.0003837479485405816,0.012278742260403104,0.0003533661365509033,0.004960854848225911
23,0.00043213367462158203,0.006068097220526801,0.000371959474351671,0.013408290015326606,0.0003475461687360491,0.004764358202616374
24,0.0005781253178914388,0.007522910833358765,0.0004207193851470947,0.015135407447814941,0.0004208087921142578,0.0051146575382777625
25,0.000360462400648329,0.007357954978942871,0.00035625696182250977,0.018486499786376953,0.00035418404473198787,0.005217254161834717
26,0.0003768801689147949,0.006799131631851196,0.00038552284240722656,0.016230016946792603,0.0003909468650817871,0.0056002821241106305
27,0.00034999847412109375,0.0069837868213653564,0.0003391106923421224,0.017522441016303167,0.0003618001937866211,0.005788028240203857
28,0.0003825558556450738,0.007543706893920898,0.0003705024719238281,0.017777204513549805,0.0004070103168487549,0.006171673536300659
29,0.0003574916294642857,0.007569021648830838,0.00033924314710828994,0.019532884870256697,0.0003663599491119385,0.006144126256306966
