i,time,time include mem,time2,time2 include mem,time serial
1,0.00033783912658691406,0.0020487308502197266,0.00033783912658691406,0.0020487308502197266,5.245208740234375e-05
2,0.000298917293548584,0.0018190741539001465,0.000298917293548584,0.0018190741539001465,0.0002269148826599121
3,0.00031107664108276367,0.0018941561381022136,0.00031107664108276367,0.0018941561381022136,0.00045096874237060547
4,0.0003059506416320801,0.0018804073333740234,0.0003059506416320801,0.0018804073333740234,0.0007940133412679037
5,0.0003330707550048828,0.001945177714029948,0.0003330707550048828,0.001945177714029948,0.0011014938354492188
6,0.0003064870834350586,0.0019668936729431152,0.0003064870834350586,0.0019668936729431152,0.001666247844696045
7,0.00030434131622314453,0.001927018165588379,0.00030434131622314453,0.001927018165588379,0.0021178126335144043
8,0.0003191232681274414,0.0019918084144592285,0.0003191232681274414,0.0019918084144592285,0.003019253412882487
9,0.0003107786178588867,0.0020411014556884766,0.0003107786178588867,0.0020411014556884766,0.003930330276489258
